maintenance_id,vehicule_id,date,type_intervention,categorie,cout_fcfa,jours_immobilisation,km_compteur
MT-00308,WVIT-699,2025-07-24,Entretien préventif,Vidange/Révision,88151,1,40133
MT-00309,AA-949-QX,2025-07-29,Entretien préventif,Vidange/Révision,36812,1,5922
MT-00310,WV-IT-603,2025-07-31,Entretien préventif,Vidange/Révision,25000,1,6368
MT-00311,WV-IT-529,2025-07-31,Entretien préventif,Vidange/Révision,68907,1,42632
MT-00312,WV-IT-571,2025-08-04,Entretien préventif,Vidange/Révision,29239,1,5894
MT-00313,AA-288-QK,2025-08-06,Entretien préventif,Vidange/Révision,34099,1,5772
MT-00314,AA-155-QY,2025-08-09,Entretien préventif,Vidange/Révision,25000,1,5054
MT-00315,WV-IT-551,2025-08-12,Entretien préventif,Vidange/Révision,77935,1,34747
MT-00316,AA-728-RH,2025-08-12,Entretien préventif,Vidange/Révision,25000,1,6201
MT-00317,WV-IT-570,2025-08-14,Entretien préventif,Vidange/Révision,25000,1,5530
MT-00318,WV-IT-564,2025-08-15,Entretien préventif,Vidange/Révision,70139,1,43080
MT-00319,WV-IT-567,2025-08-22,Entretien préventif,Vidange/Révision,69896,1,37973
MT-00320,WV-IT-693,2025-08-23,Entretien préventif,Vidange/Révision,71799,1,39132
MT-00321,WV-IT-552,2025-08-26,Entretien préventif,Vidange/Révision,97417,1,31448
MT-00322,WV-IT-680,2025-08-29,Entretien préventif,Vidange/Révision,101894,1,17694
MT-00323,WV-IT-552,2025-09-02,Panne,Refroidissement,216825,3,32093
MT-00324,WV-IT-691,2025-09-02,Entretien préventif,Vidange/Révision,107225,1,43549
MT-00325,WV-IT-575,2025-09-05,Entretien préventif,Vidange/Révision,80114,1,37317
MT-00326,WV-IT-514,2025-09-11,Panne,Refroidissement,236047,3,38506
MT-00327,WV-IT-529,2025-09-19,Panne,Climatisation,66424,1,45037
MT-00328,WV-IT-551,2025-09-20,Panne,Embrayage/Transmission,551643,5,36188
MT-00329,AA-840-QG,2025-09-23,Entretien préventif,Vidange/Révision,46014,1,6639
MT-00330,WVIT-700,2025-09-23,Entretien préventif,Vidange/Révision,82786,1,37202
MT-00331,WVIT-701,2025-09-24,Entretien préventif,Vidange/Révision,97505,1,44181
MT-00332,987297,2025-09-25,Entretien préventif,Vidange/Révision,32462,1,5567
MT-00333,WVIT694,2025-09-25,Entretien préventif,Vidange/Révision,47876,1,34340
MT-00334,AA-902-QG,2025-09-26,Entretien préventif,Vidange/Révision,36956,1,6135
MT-00335,WV-IT-604,2025-09-26,Entretien préventif,Vidange/Révision,37434,1,6121
MT-00336,WV-IT-574,2025-09-27,Entretien préventif,Vidange/Révision,32256,1,37685
MT-00337,WV-IT-534,2025-09-29,Entretien préventif,Vidange/Révision,101682,1,20094
MT-00338,WVIT-702,2025-09-30,Entretien préventif,Vidange/Révision,61881,1,44553
MT-00339,AA-907-QG,2025-10-02,Entretien préventif,Vidange/Révision,29417,1,5861
MT-00340,AA-425-NX,2025-10-04,Entretien préventif,Vidange/Révision,25000,1,6641
MT-00341,AA-897-QG,2025-10-04,Entretien préventif,Vidange/Révision,53030,1,6689
MT-00342,WV-IT-663,2025-10-11,Entretien préventif,Vidange/Révision,37370,1,6253
MT-00343,AA-345-QK,2025-10-15,Panne,Pneumatique,65580,1,5708
MT-00344,AA-885-QG,2025-10-14,Entretien préventif,Vidange/Révision,33754,1,6228
MT-00345,WVIT-699,2025-10-14,Entretien préventif,Vidange/Révision,61690,1,45195
MT-00346,WV-IT-551,2025-10-16,Panne,Refroidissement,25000,1,37343
MT-00347,WV-IT-568,2025-10-15,Entretien préventif,Vidange/Révision,93053,1,38528
MT-00348,AA-892-QG,2025-10-23,Entretien préventif,Vidange/Révision,37570,1,6317
MT-00349,WV-IT-514,2025-10-27,Entretien préventif,Vidange/Révision,66638,1,40344
MT-00350,WVIT694,2025-10-28,Panne,Électrique/Batterie,81429,1,36944
MT-00351,WV-IT-567,2025-10-30,Panne,Refroidissement,202450,1,41709
MT-00352,WV-IT-561,2025-10-29,Entretien préventif,Vidange/Révision,84998,1,44152
MT-00353,WV-IT-703,2025-10-31,Entretien préventif,Vidange/Révision,86470,1,24487
MT-00354,WVIT-699,2025-11-04,Panne,Climatisation,46265,1,46620
MT-00355,AA-737-NW,2025-11-04,Entretien préventif,Vidange/Révision,26280,1,6202
MT-00356,WV-IT-688,2025-11-05,Entretien préventif,Vidange/Révision,25000,1,5890
MT-00357,AA-735-NW,2025-11-05,Entretien préventif,Vidange/Révision,25000,1,7650
MT-00358,WV-IT-529,2025-11-06,Entretien préventif,Vidange/Révision,73143,1,47839
MT-00359,WVIT-702,2025-11-08,Panne,Refroidissement,169529,1,49098
MT-00360,WV-IT-567,2025-11-13,Entretien préventif,Vidange/Révision,67294,1,43007
MT-00361,WV-IT-551,2025-11-14,Entretien préventif,Vidange/Révision,99724,1,39822
MT-00362,WV-IT-564,2025-11-18,Entretien préventif,Vidange/Révision,99404,1,48244
MT-00363,WVIT-702,2025-11-19,Entretien préventif,Vidange/Révision,87419,1,49571
MT-00364,AA-891-QG,2025-11-20,Entretien préventif,Vidange/Révision,25000,1,6691
MT-00365,WV-IT-552,2025-11-23,Panne,Suspension,323059,3,35838
MT-00366,WV-IT-691,2025-11-25,Entretien préventif,Vidange/Révision,86560,1,48703
MT-00367,WV-IT-693,2025-11-26,Entretien préventif,Vidange/Révision,78832,1,44266
MT-00368,WVTEST3,2025-11-28,Entretien préventif,Vidange/Révision,78983,1,19674
MT-00369,WV-IT-665,2025-11-28,Entretien préventif,Vidange/Révision,25000,1,6930
MT-00370,WV-IT-552,2025-11-29,Entretien préventif,Vidange/Révision,84443,1,36595
MT-00371,WV-IT-568,2025-12-02,Panne,Freinage,155057,3,41175
MT-00372,WV-IT-692,2025-12-06,Entretien préventif,Vidange/Révision,70538,1,21586
MT-00373,WV-IT-637,2025-12-06,Entretien préventif,Vidange/Révision,25000,1,7956
MT-00374,WV-321,2025-12-09,Entretien préventif,Vidange/Révision,92550,1,24021
MT-00375,WV-IT-564,2025-12-13,Panne,Climatisation,118886,1,50488
MT-00376,WVIT-700,2025-12-20,Entretien préventif,Vidange/Révision,106875,1,42204
MT-00377,AA-934-QX,2025-12-23,Entretien préventif,Vidange/Révision,31339,1,6741
MT-00378,WV-IT-640,2025-12-24,Panne,Embrayage/Transmission,656442,3,6857
MT-00379,AA-752-NW,2025-12-25,Entretien préventif,Vidange/Révision,36042,1,7092
MT-00380,WVIT694,2025-12-26,Entretien préventif,Vidange/Révision,83056,1,39709
MT-00381,WV-IT-575,2025-12-27,Entretien préventif,Vidange/Révision,84231,1,42524
MT-00382,AA-280-QK,2025-12-29,Entretien préventif,Vidange/Révision,31868,1,7239
MT-00383,WV-IT-569,2025-12-30,Entretien préventif,Vidange/Révision,73639,1,22611
MT-00384,WV-IT-661,2025-12-30,Entretien préventif,Vidange/Révision,25000,1,6910
MT-00385,WV-IT-685,2025-12-31,Entretien préventif,Vidange/Révision,31618,1,7547
MT-00386,WV-IT-517,2026-01-01,Entretien préventif,Vidange/Révision,96259,1,25732
MT-00387,WV-IT-564,2026-01-02,Panne,Refroidissement,136226,2,52160
MT-00388,AA-986-QX,2026-01-02,Entretien préventif,Vidange/Révision,31157,1,6710
MT-00389,WV-IT-561,2026-01-06,Entretien préventif,Vidange/Révision,59718,1,49166
MT-00390,AA-240-PJ,2026-01-08,Panne,Pneumatique,157300,1,7457
MT-00391,AA-284-QK,2026-01-07,Entretien préventif,Vidange/Révision,38381,1,7235
MT-00392,WV-IT-529,2026-01-08,Entretien préventif,Vidange/Révision,88499,1,52955
MT-00393,WVIT-699,2026-01-09,Entretien préventif,Vidange/Révision,120494,1,50331
MT-00394,WV-IT-564,2026-01-14,Entretien préventif,Vidange/Révision,67868,1,53431
MT-00395,WV-IT-574,2026-01-19,Entretien préventif,Vidange/Révision,94255,1,42825
MT-00396,AA-299-TE,2026-01-20,Panne,Moteur,938175,8,6833
MT-00397,AA-373-QK,2026-01-21,Entretien préventif,Vidange/Révision,25000,1,7193
MT-00398,WV-IT-578,2026-01-21,Entretien préventif,Vidange/Révision,25000,1,6534
MT-00399,WV-IT-569,2026-01-23,Panne,Pneumatique,148807,1,22965
MT-00400,AA-905-QG,2026-01-22,Entretien préventif,Vidange/Révision,25614,1,7304
MT-00401,WVIT-701,2026-01-22,Entretien préventif,Vidange/Révision,80005,1,49302
MT-00402,AA-746-NW,2026-01-28,Entretien préventif,Vidange/Révision,36095,1,6955
MT-00403,WVIT-681,2026-01-29,Panne,Embrayage/Transmission,369876,6,19003
MT-00404,WV-IT-602,2026-01-31,Entretien préventif,Vidange/Révision,25000,1,7575
MT-00405,WV-IT-691,2026-01-31,Entretien préventif,Vidange/Révision,82458,1,53804
MT-00406,WVIT-681,2026-02-14,Entretien préventif,Vidange/Révision,107308,1,19248
MT-00407,WV-IT-514,2026-02-17,Entretien préventif,Vidange/Révision,77665,1,45478
MT-00408,AA-340-QK,2026-02-17,Entretien préventif,Vidange/Révision,42460,1,6701
MT-00409,AA-665-QG,2026-03-04,Entretien préventif,Vidange/Révision,26136,1,7350
MT-00410,WVIT-576,2026-03-04,Entretien préventif,Vidange/Révision,80896,1,23812
MT-00411,WV-IT-534,2026-03-07,Entretien préventif,Vidange/Révision,84038,1,25138
MT-00412,WV-IT-633,2026-03-09,Entretien préventif,Vidange/Révision,25000,1,6907
MT-00413,WV-IT-527,2026-03-11,Entretien préventif,Vidange/Révision,106632,1,25178
MT-00414,WV-IT-686,2026-03-11,Entretien préventif,Vidange/Révision,25000,1,7220
MT-00415,AA-739-NW,2026-03-14,Entretien préventif,Vidange/Révision,25000,1,7030
MT-00416,WV-IT-568,2026-03-18,Entretien préventif,Vidange/Révision,52335,1,43788
MT-00417,WV-IT-693,2026-03-18,Entretien préventif,Vidange/Révision,83827,1,49472
MT-00418,WVIT-700,2026-03-20,Entretien préventif,Vidange/Révision,75886,1,47385
MT-00419,WV-IT-552,2026-03-21,Entretien préventif,Vidange/Révision,91751,1,41794
MT-00420,WV-IT-575,2026-03-22,Entretien préventif,Vidange/Révision,79414,1,47668
MT-00421,WV-IT-561,2026-03-25,Entretien préventif,Vidange/Révision,94577,1,54246
MT-00422,WV-IT-564,2026-03-25,Entretien préventif,Vidange/Révision,66736,1,58596
MT-00423,WV-IT-567,2026-03-27,Entretien préventif,Vidange/Révision,82933,1,48061
MT-00424,WV-IT-660,2026-03-27,Entretien préventif,Vidange/Révision,35152,1,6908
MT-00425,WV-IT-551,2026-03-28,Entretien préventif,Vidange/Révision,80887,1,44980
MT-00426,AA-336-QK,2026-03-28,Entretien préventif,Vidange/Révision,28081,1,7229
MT-00427,WV-IT-680,2026-03-31,Entretien préventif,Vidange/Révision,85497,1,22761
MT-00428,AA-973-NW,2026-03-31,Entretien préventif,Vidange/Révision,34736,1,7924
MT-00429,WV-IT-640,2026-04-01,Entretien préventif,Vidange/Révision,25000,1,7778
MT-00430,WVIT-702,2026-04-02,Entretien préventif,Vidange/Révision,101193,1,54688
MT-00431,WVIT-699,2026-04-02,Entretien préventif,Vidange/Révision,94036,1,55402
MT-00432,WV-IT-514,2026-04-08,Panne,Embrayage/Transmission,189457,4,47745
MT-00433,WV-IT-529,2026-04-07,Entretien préventif,Vidange/Révision,81839,1,58174
MT-00434,AA-683-NW,2026-04-09,Entretien préventif,Vidange/Révision,25000,1,7605
MT-00435,WV-IT-572,2026-04-11,Entretien préventif,Vidange/Révision,48417,1,8183
MT-00436,WVIT694,2026-04-11,Entretien préventif,Vidange/Révision,96755,1,44726
MT-00437,AA-218-QX,2026-04-14,Entretien préventif,Vidange/Révision,25000,1,8408
MT-00438,WV-IT-691,2026-04-16,Panne,Embrayage/Transmission,552118,4,58410
MT-00439,AA-423-NX,2026-04-15,Entretien préventif,Vidange/Révision,25000,1,7549
MT-00440,WV-IT-664,2026-04-16,Entretien préventif,Vidange/Révision,29684,1,8485
MT-00441,AA-170-QY,2026-04-17,Entretien préventif,Vidange/Révision,39502,1,7992
MT-00442,WV-IT-703,2026-04-22,Entretien préventif,Vidange/Révision,73676,1,29530
MT-00443,AA-865-QG,2026-04-23,Entretien préventif,Vidange/Révision,25000,1,7978
MT-00444,AA-728-NW,2026-04-25,Panne,Pneumatique,76011,1,8519
MT-00445,AA-240-PJ,2026-04-25,Entretien préventif,Vidange/Révision,32672,1,8385
MT-00446,WV-IT-691,2026-04-26,Entretien préventif,Vidange/Révision,109112,1,58957
MT-00447,WV-IT-551,2026-04-29,Panne,Embrayage/Transmission,588858,6,46293
MT-00448,WV-IT-662,2026-04-30,Panne,Pneumatique,129092,1,7383
MT-00449,WVIT-576,2026-05-01,Panne,Refroidissement,119896,1,25144
MT-00450,WVTEST3,2026-05-07,Entretien préventif,Vidange/Révision,109014,1,24715
MT-00451,WVIT-701,2026-05-07,Entretien préventif,Vidange/Révision,109288,1,54780
MT-00452,WV-IT-514,2026-05-08,Entretien préventif,Vidange/Révision,70545,1,50549
MT-00453,AA-941-QX,2026-05-09,Entretien préventif,Vidange/Révision,25000,1,7892
MT-00454,WV-IT-574,2026-05-11,Entretien préventif,Vidange/Révision,107432,1,47905
MT-00455,WV-IT-662,2026-05-13,Entretien préventif,Vidange/Révision,32561,1,7468
MT-00456,WV-321,2026-05-19,Entretien préventif,Vidange/Révision,71238,1,29045
MT-00457,AA-846-QG,2026-05-21,Entretien préventif,Vidange/Révision,42903,1,8196
MT-00458,AA-728-NW,2026-05-28,Entretien préventif,Vidange/Révision,48764,1,8635
MT-00459,WV-IT-639,2026-05-29,Entretien préventif,Vidange/Révision,39011,1,7601
MT-00460,WV-IT-529,2026-05-29,Entretien préventif,Vidange/Révision,40882,1,63247
MT-00461,WV-IT-561,2026-06-03,Entretien préventif,Vidange/Révision,53709,1,59358
MT-00462,WVIT-700,2026-06-06,Entretien préventif,Vidange/Révision,37023,1,52417
MT-00463,987298,2026-06-10,Entretien préventif,Vidange/Révision,29506,1,7729
MT-00464,WV-IT-689,2026-06-17,Entretien préventif,Vidange/Révision,39491,1,8372
MT-00465,WV-IT-703,2026-06-20,Panne,Électrique/Batterie,96363,1,31219
MT-00466,WV-IT-565,2026-06-20,Entretien préventif,Vidange/Révision,41275,1,8500
MT-00467,WV-IT-575,2026-06-24,Entretien préventif,Vidange/Révision,79599,1,52698
MT-00468,WV-IT-517,2026-06-28,Entretien préventif,Vidange/Révision,110459,1,30765
MT-00469,WV-IT-585,2026-07-01,Panne,Climatisation,165902,1,8465
MT-00470,WV-IT-564,2026-07-01,Entretien préventif,Vidange/Révision,81822,1,63884
MT-00471,WVIT-699,2026-07-04,Entretien préventif,Vidange/Révision,77483,1,60757
MT-00472,AA-903-QG,2026-07-07,Entretien préventif,Vidange/Révision,33982,1,8574
MT-00473,WV-IT-636,2026-07-10,Entretien préventif,Vidange/Révision,26654,1,8346
MT-00474,AA-814-QG,2026-07-10,Entretien préventif,Vidange/Révision,25000,1,8869
MT-00475,AA-286-TE,2026-07-11,Entretien préventif,Vidange/Révision,25000,1,8612
MT-00476,WV-IT-517,2026-07-16,Panne,Climatisation,203990,1,31480
MT-00477,WVIT-702,2026-07-17,Entretien préventif,Vidange/Révision,89542,1,60046
MT-00478,AA-299-TE,2026-07-18,Entretien préventif,Vidange/Révision,33227,1,8216
MT-00479,WV-IT-569,2026-07-21,Entretien préventif,Vidange/Révision,73383,1,27704
MT-00480,AA-748-NW,2026-07-22,Entretien préventif,Vidange/Révision,25000,1,8663
MT-00481,WV-IT-568,2026-07-25,Entretien préventif,Vidange/Révision,109918,1,48897
MT-00482,WVIT-701,2026-07-28,Entretien préventif,Vidange/Révision,95547,1,59960
MT-00483,WV-IT-638,2026-07-29,Entretien préventif,Vidange/Révision,40319,1,8492
MT-00484,WV-IT-552,2026-07-31,Entretien préventif,Vidange/Révision,84325,1,46852
MT-00485,AA-658-NW,2026-07-31,Entretien préventif,Vidange/Révision,28945,1,9184
MT-00486,WVIT-681,2026-07-31,Entretien préventif,Vidange/Révision,87309,1,24414
MT-00487,WV-IT-567,2026-08-01,Entretien préventif,Vidange/Révision,70967,1,53216
MT-00488,WV-IT-692,2026-08-02,Entretien préventif,Vidange/Révision,96474,1,26703
MT-00489,WV-IT-585,2026-08-02,Entretien préventif,Vidange/Révision,25000,1,8666
MT-00490,WV-IT-691,2026-08-02,Entretien préventif,Vidange/Révision,80895,1,64349
MT-00491,WV-IT-551,2026-08-04,Entretien préventif,Vidange/Révision,89071,1,50106
MT-00492,AA-979-QX,2026-08-04,Entretien préventif,Vidange/Révision,28955,1,8437
MT-00493,AA-345-QK,2026-08-06,Entretien préventif,Vidange/Révision,62982,1,7740
MT-00494,WV-IT-693,2026-08-06,Entretien préventif,Vidange/Révision,74196,1,54599
